UserId,ContinentId,RegionId,CountryId,CityId
1,5,13,53,103.0
2,4,12,46,93.0
3,1,2,7,15.0
4,5,14,55,107.0
5,3,9,37,
6,1,2,10,21.0
7,5,13,53,103.0
8,5,16,61,122.0
9,3,10,39,75.0
10,3,11,44,
11,5,15,59,117.0
12,5,13,52,100.0
13,5,14,54,104.0
14,6,18,65,131.0
15,2,6,26,53.0
16,1,1,1,2.0
17,3,11,44,88.0
18,1,4,19,38.0
19,6,18,65,130.0
20,1,2,10,21.0
21,2,7,29,58.0
22,1,2,10,22.0
23,4,12,45,89.0
24,2,6,25,49.0
25,2,7,30,59.0
26,1,2,7,
27,2,6,26,51.0
28,5,14,55,108.0
29,2,7,28,55.0
30,2,8,33,64.0
31,6,18,65,131.0
32,2,6,26,51.0
33,1,2,10,21.0
34,3,9,38,73.0
35,1,2,8,18.0
36,6,18,66,132.0
37,4,12,45,89.0
38,2,7,31,60.0
39,1,1,6,14.0
40,1,1,4,9.0
41,4,12,45,90.0
42,2,6,26,53.0
43,6,18,65,130.0
44,3,11,42,84.0
45,4,12,46,92.0
46,5,14,56,111.0
47,1,1,4,8.0
48,1,4,17,35.0
49,3,10,41,81.0
50,2,6,25,50.0
51,5,14,54,104.0
52,6,18,66,132.0
53,1,1,1,2.0
54,2,6,27,54.0
55,5,14,54,106.0
56,1,1,2,4.0
57,2,6,27,54.0
58,2,5,22,44.0
59,1,1,6,14.0
60,4,12,48,95.0
61,2,6,25,48.0
62,1,2,7,15.0
63,2,5,20,40.0
64,3,10,41,82.0
65,5,14,56,111.0
66,2,6,26,53.0
67,1,2,11,24.0
68,5,16,62,124.0
69,2,5,21,41.0
70,1,2,7,15.0
71,2,5,23,45.0
72,2,8,33,65.0
73,4,12,45,89.0
74,3,9,36,71.0
75,1,1,4,9.0
76,3,11,44,88.0
77,6,17,64,129.0
78,2,8,32,63.0
79,3,10,41,81.0
80,1,4,16,33.0
81,5,16,61,123.0
82,1,1,2,5.0
83,2,5,21,41.0
84,1,3,14,28.0
85,3,9,37,72.0
86,1,1,5,12.0
87,1,4,16,33.0
88,2,6,25,48.0
89,2,7,31,62.0
90,1,4,19,37.0
91,5,13,51,99.0
92,5,14,54,104.0
93,1,4,17,35.0
94,5,13,53,101.0
95,6,18,65,
96,1,1,1,1.0
97,1,1,2,5.0
98,5,13,53,103.0
99,1,3,13,27.0
100,1,2,7,15.0
101,4,12,45,
102,2,5,21,42.0
103,5,16,62,124.0
104,2,8,32,63.0
105,4,12,49,96.0
106,2,6,26,52.0
107,4,12,49,96.0
108,6,18,66,132.0
109,1,3,14,29.0
110,1,4,18,36.0
111,1,1,6,13.0
112,3,9,36,71.0
113,3,11,43,86.0
114,1,3,14,28.0
115,2,8,33,66.0
116,2,5,23,45.0
117,2,7,31,62.0
118,1,3,14,28.0
119,1,3,14,28.0
120,5,14,55,108.0
121,2,5,22,44.0
122,3,11,42,84.0
123,1,3,15,30.0
124,3,10,39,75.0
125,6,17,64,128.0
126,4,12,46,92.0
127,6,17,64,129.0
128,5,16,61,121.0
129,1,3,13,27.0
